pkgName,className,mdName,mmCOMP,mmNOCL,mmNOS,mmHLTH,mmHVOC,mmHEFF,mmHBUG,mmCREF,mmXMET,mmLMET,mmNLOC,mmNOC,mmNOA,mmMOD,mmHDIF,mmVDEC,mmEXCT,mmEXCR,mmCAST,mmTDN,mmHVOL,mmNAND,mmVREF,mmNOPR,mmMDN,mmNEXP,mmLOOP,ccNoMethods,ccLCOM,ccAVCC,ccNOS,ccHBUG,ccHEFF,ccUWCS,ccINST,ccPACK,ccRFC,ccCBO,ccMI,ccCCML,ccNLOC,ccRVF,ccF-IN,ccDIT,ccMINC,ccS-R,ccR-R,ccCOH,ccLMC,ccLCOM2,ccMAXCC,ccHVOL,ccHIER,ccNQU,ccFOUT,ccSuperclass,ccSIX,ccEXT,ccNSUP,ccTCC,ccNSUB,ccMPC,ccNCO,ccINTR,ccCCOM,ccHLTH,ccMOD,ppNoClasses,ppNOS,ppAVCC,ppHBUG,ppHEFF,ppHLTH,ppHVOL,ppMI,ppCCML,ppNLOC,ppRVF,ppTCC,ppCCOM,ppINST,ppDIST,ppFIN,ppNoMethods,ppMINC,ppABST,ppMAXCC,ppFOUT
net.objecthunter.exp4j,ExpressionBuilder,variable,1,5,3,18,13,256.92,0.02,2,1,0,4,1,1,1,3.86,0,0,0,0,0,66.61,9,2,9,0,1,0,13,0.02,1.77,82,0.73,20022.23,18,5,5,13,6,116.98,59,89,11.00,1,1,116.74,0.00,0.00,0.22,2,41.00,4,2200.40,0,11,5,java.lang.Object,0.00,0,0,23,0,0,2,0,14,490,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,ExpressionBuilder,variables,1,5,3,20,14,380.74,0.03,3,1,0,4,1,1,1,5.00,0,0,0,0,0,76.15,10,2,10,0,1,0,13,0.02,1.77,82,0.73,20022.23,18,5,5,13,6,116.98,59,89,11.00,1,1,116.74,0.00,0.00,0.22,2,41.00,4,2200.40,0,11,5,java.lang.Object,0.00,0,0,23,0,0,2,0,14,490,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,ExpressionBuilder,variables,1,5,3,21,15,468.83,0.03,3,1,0,4,1,1,1,5.71,0,0,0,0,0,82.04,10,2,11,0,1,0,13,0.02,1.77,82,0.73,20022.23,18,5,5,13,6,116.98,59,89,11.00,1,1,116.74,0.00,0.00,0.22,2,41.00,4,2200.40,0,11,5,java.lang.Object,0.00,0,0,23,0,0,2,0,14,490,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j.function,Function,Function,1,5,2,11,9,83.69,0.01,1,0,1,3,1,1,1,2.40,0,0,0,0,0,34.87,6,1,5,0,0,0,7,0.42,2.29,49,0.41,17527.52,9,2,0,7,6,94.65,37,56,17.00,6,1,112.52,0.00,0.00,0.14,1,17.00,6,1229.94,1,5,0,java.lang.Object,0.00,0,0,16,0,0,2,0,7,268,2,25,224,2.13,1.99,60237.77,1221,5982.33,153.29,75,285,101,66,11,0.20,0.76,4,31,113.41,0.04,24,1
net.objecthunter.exp4j.function,Function,Function,3,6,7,53,25,2612.70,0.08,2,1,1,11,1,2,1,10.62,0,0,0,0,2,246.12,23,8,30,1,11,0,7,0.42,2.29,49,0.41,17527.52,9,2,0,7,6,94.65,37,56,17.00,6,1,112.52,0.00,0.00,0.14,1,17.00,6,1229.94,1,5,0,java.lang.Object,0.00,0,0,16,0,0,2,0,7,268,2,25,224,2.13,1.99,60237.77,1221,5982.33,153.29,75,285,101,66,11,0.20,0.76,4,31,113.41,0.04,24,1
net.objecthunter.exp4j.function,Function,apply,1,6,1,9,8,90.00,0.01,0,0,0,1,1,1,2,3.33,0,0,0,0,0,27.00,4,0,5,0,0,0,7,0.42,2.29,49,0.41,17527.52,9,2,0,7,6,94.65,37,56,17.00,6,1,112.52,0.00,0.00,0.14,1,17.00,6,1229.94,1,5,0,java.lang.Object,0.00,0,0,16,0,0,2,0,7,268,2,25,224,2.13,1.99,60237.77,1221,5982.33,153.29,75,285,101,66,11,0.20,0.76,4,31,113.41,0.04,24,1
net.objecthunter.exp4j.function,Function,getAllowedFunctionCharacters,3,7,15,76,25,5375.44,0.12,0,0,0,12,1,0,2,15.23,4,0,0,2,2,352.93,33,13,43,1,17,2,7,0.42,2.29,49,0.41,17527.52,9,2,0,7,6,94.65,37,56,17.00,6,1,112.52,0.00,0.00,0.14,1,17.00,6,1229.94,1,5,0,java.lang.Object,0.00,0,0,16,0,0,2,0,7,268,2,25,224,2.13,1.99,60237.77,1221,5982.33,153.29,75,285,101,66,11,0.20,0.76,4,31,113.41,0.04,24,1
net.objecthunter.exp4j.function,Function,getName,1,5,2,8,8,60.00,0.01,1,0,0,3,1,0,1,2.50,0,0,0,0,0,24.00,3,1,5,0,0,0,7,0.42,2.29,49,0.41,17527.52,9,2,0,7,6,94.65,37,56,17.00,6,1,112.52,0.00,0.00,0.14,1,17.00,6,1229.94,1,5,0,java.lang.Object,0.00,0,0,16,0,0,2,0,7,268,2,25,224,2.13,1.99,60237.77,1221,5982.33,153.29,75,285,101,66,11,0.20,0.76,4,31,113.41,0.04,24,1
net.objecthunter.exp4j.function,Function,getNumArguments,1,5,2,8,8,60.00,0.01,0,0,0,3,1,0,1,2.50,0,0,0,0,0,24.00,3,1,5,0,0,0,7,0.42,2.29,49,0.41,17527.52,9,2,0,7,6,94.65,37,56,17.00,6,1,112.52,0.00,0.00,0.14,1,17.00,6,1229.94,1,5,0,java.lang.Object,0.00,0,0,16,0,0,2,0,7,268,2,25,224,2.13,1.99,60237.77,1221,5982.33,153.29,75,285,101,66,11,0.20,0.76,4,31,113.41,0.04,24,1
net.objecthunter.exp4j.function,Function,isValidFunctionName,6,0,17,95,38,9223.23,0.17,2,4,0,19,0,1,2,18.50,3,0,0,0,5,498.55,37,12,58,2,14,1,7,0.42,2.29,49,0.41,17527.52,9,2,0,7,6,94.65,37,56,17.00,6,1,112.52,0.00,0.00,0.14,1,17.00,6,1229.94,1,5,0,java.lang.Object,0.00,0,0,16,0,0,2,0,7,268,2,25,224,2.13,1.99,60237.77,1221,5982.33,153.29,75,285,101,66,11,0.20,0.76,4,31,113.41,0.04,24,1
net.objecthunter.exp4j.function,Functions$Function,apply,1,0,2,19,16,439.71,0.03,1,1,0,3,0,1,2,5.79,0,0,0,0,0,76.00,9,1,10,0,2,0,1,0.00,1.00,3,0.03,439.71,1,0,0,1,0,132.39,0,6,2.00,0,1,132.39,0.00,0.00,0.00,0,1.00,1,76.00,0,1,0,java.lang.Object,0.00,0,0,1,0,0,0,0,0,19,2,25,224,2.13,1.99,60237.77,1221,5982.33,153.29,75,285,101,66,11,0.20,0.76,4,31,113.41,0.04,24,1
net.objecthunter.exp4j.function,Functions$Function_0,apply,1,0,2,19,16,439.71,0.03,1,1,0,3,0,1,2,5.79,0,0,0,0,0,76.00,9,1,10,0,2,0,1,0.00,1.00,3,0.03,439.71,1,0,0,1,0,132.39,0,6,2.00,0,1,132.39,0.00,0.00,0.00,0,1.00,1,76.00,0,1,0,java.lang.Object,0.00,0,0,1,0,0,0,0,0,19,2,25,224,2.13,1.99,60237.77,1221,5982.33,153.29,75,285,101,66,11,0.20,0.76,4,31,113.41,0.04,24,1
net.objecthunter.exp4j.function,Functions$Function_1,apply,1,0,2,19,16,439.71,0.03,1,1,0,3,0,1,2,5.79,0,0,0,0,0,76.00,9,1,10,0,2,0,1,0.00,1.00,3,0.03,439.71,1,0,0,1,0,132.39,0,6,2.00,0,1,132.39,0.00,0.00,0.00,0,1.00,1,76.00,0,1,0,java.lang.Object,0.00,0,0,1,0,0,0,0,0,19,2,25,224,2.13,1.99,60237.77,1221,5982.33,153.29,75,285,101,66,11,0.20,0.76,4,31,113.41,0.04,24,1
net.objecthunter.exp4j.function,Functions$Function_10,apply,1,0,2,19,16,439.71,0.03,1,1,0,3,0,1,2,5.79,0,0,0,0,0,76.00,9,1,10,0,2,0,1,0.00,1.00,3,0.03,439.71,1,0,0,1,0,132.39,0,6,2.00,0,1,132.39,0.00,0.00,0.00,0,1.00,1,76.00,0,1,0,java.lang.Object,0.00,0,0,1,0,0,0,0,0,19,2,25,224,2.13,1.99,60237.77,1221,5982.33,153.29,75,285,101,66,11,0.20,0.76,4,31,113.41,0.04,24,1
