System,Package,Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"","org.joda.example.time","TimeZoneTable$ZoneData",6,0.00,2.33,37,0.34,13961.56,8,2,9,6,1,115.27,0,51,13.00,0,1,115.27,0.00,0.00,0.50,3,0.00,7,1017.40,0,5,1,java.lang.Object,0.00,0,0,14,0,0,1,1,0,228,2
"","org.joda.time","UTCDateTimeZone",11,2.00,1.00,25,0.19,2211.69,13,2,0,12,2,141.63,6,47,5.00,2,2,141.63,0.00,0.50,0.00,0,11.00,1,566.33,1,10,1,org.joda.time.DateTimeZone,0.32,1,1,11,0,1,1,0,1,159,1
"","org.joda.time.tz","UTCProvider",3,1.00,1.33,10,0.07,818.51,4,1,3,4,4,91.66,21,15,4.00,3,1,133.95,0.00,0.00,0.33,0,4.00,2,210.01,0,2,2,java.lang.Object,0.00,1,0,4,0,1,1,1,4,57,2
"","org.joda.time.field","UnsupportedDateTimeField",54,0.21,1.07,126,0.98,19034.26,58,4,7,54,15,121.82,275,187,11.00,11,2,139.70,0.00,0.50,0.04,3,370.00,4,2928.79,0,53,4,org.joda.time.DateTimeField,0.55,0,1,58,0,0,1,1,56,797,2
"","org.joda.time.field","UnsupportedDurationField",25,0.26,1.20,69,0.51,12382.87,28,3,4,25,16,120.63,126,100,11.00,14,2,138.51,0.00,0.50,0.08,3,123.00,4,1529.44,0,24,2,org.joda.time.DurationField,0.80,0,1,30,0,0,1,1,27,409,2
"","org.joda.time","Weeks",26,0.08,1.38,101,1.05,20918.41,34,8,6,30,27,81.77,283,141,16.00,12,2,130.25,0.00,0.50,0.05,2,98.00,2,3148.34,1,25,20,org.joda.time.base.BaseSingleFieldPeriod,0.09,4,1,36,0,4,1,0,41,747,2
"","org.joda.time","YearMonth",46,0.19,1.30,152,1.58,37051.79,50,4,13,49,26,86.13,526,220,14.00,8,3,130.26,0.00,0.67,0.06,10,418.00,4,4737.02,6,35,18,org.joda.time.base.BasePartial,0.07,3,2,60,0,3,11,1,66,1140,2
"","org.joda.time","YearMonth$Property",10,0.22,1.00,34,0.31,5717.23,13,3,13,10,4,83.01,106,45,7.00,0,2,131.49,0.00,0.50,0.53,2,0.00,1,919.00,0,9,4,org.joda.time.field.AbstractPartialFieldProperty,0.18,0,1,10,0,0,1,1,15,231,2
"","org.joda.time","YearMonthDay",51,0.14,1.20,164,1.70,39323.17,56,5,9,55,44,86.30,600,240,17.00,28,3,130.43,0.00,0.67,0.06,11,584.00,4,5090.98,6,40,18,org.joda.time.base.BasePartial,0.07,4,2,61,0,4,11,1,73,1229,3
"","org.joda.time","YearMonthDay$Property",12,0.12,1.00,38,0.33,5891.58,15,3,9,12,4,87.88,132,51,7.00,0,2,132.01,0.00,0.50,0.44,2,0.00,1,988.74,2,11,4,org.joda.time.field.AbstractPartialFieldProperty,0.17,0,1,12,0,0,1,1,18,253,3
"","org.joda.time","Years",20,0.07,1.50,87,0.88,18820.53,28,8,6,24,17,75.03,193,121,16.00,4,2,125.03,0.00,0.50,0.06,2,68.00,2,2645.06,1,19,13,org.joda.time.base.BaseSingleFieldPeriod,0.11,4,1,30,0,4,1,0,32,619,2
"","org.joda.time.field","ZeroIsMaxDateTimeField",26,1.00,1.12,63,0.57,9565.23,27,1,4,26,6,179.43,61,94,11.00,0,4,139.54,0.00,0.75,0.00,1,26.00,2,1719.78,1,25,6,org.joda.time.field.DecoratedDateTimeField,0.58,0,3,29,0,0,1,0,10,469,2
"","org.joda.time.tz","ZoneInfoCompiler",16,0.02,5.50,328,4.97,447168.07,22,6,27,16,15,107.68,63,393,44.00,3,1,87.06,0.00,0.00,0.15,6,74.00,22,14898.11,0,10,12,java.lang.Object,0.00,0,0,88,0,0,6,0,25,2506,1
"","org.joda.time.tz","ZoneInfoCompiler$DateTimeOfYear",5,1.04,3.00,69,0.99,70506.51,11,6,27,5,2,146.52,7,114,16.00,0,1,96.52,0.00,0.00,1.00,0,0.00,11,2977.29,4,1,2,java.lang.Object,0.00,0,0,15,0,0,4,0,3,519,1
"","org.joda.time.tz","ZoneInfoCompiler$Rule",5,0.75,2.20,50,0.59,20523.58,12,7,27,5,1,155.06,5,72,19.00,0,1,105.06,0.00,0.00,0.74,1,0.00,5,1757.45,3,2,1,java.lang.Object,0.00,0,0,11,0,0,3,0,5,372,2
"","org.joda.time.tz","ZoneInfoCompiler$RuleSet",3,0.00,3.33,34,0.43,23600.61,4,1,27,3,1,121.81,10,39,50.00,0,1,101.20,0.00,0.00,1.00,0,0.00,7,1293.70,0,0,1,java.lang.Object,0.00,0,0,10,0,0,3,0,8,253,2
"","org.joda.time.tz","ZoneInfoCompiler$Zone",6,0.43,2.50,53,0.65,25859.71,13,7,27,6,1,148.37,12,81,29.00,0,1,108.48,0.00,0.00,0.50,1,0.00,6,1956.25,4,1,1,java.lang.Object,0.00,0,0,15,0,0,5,0,4,391,2
"","org.joda.time.tz","ZoneInfoLogger",2,0.00,1.00,6,0.07,1322.89,3,1,0,3,2,151.61,7,8,2.00,2,1,130.99,0.00,0.00,1.00,0,0.00,1,196.22,0,1,0,java.lang.Object,0.00,1,0,2,0,1,1,0,2,52,1
"","org.joda.time.tz","ZoneInfoLogger$ThreadLocal<Boolean>",1,0.00,1.00,3,0.01,126.80,1,0,0,1,0,136.64,0,5,2.00,0,1,136.64,0.00,0.00,0.00,0,1.00,1,31.70,0,1,0,java.lang.Object,0.00,0,0,1,0,0,0,0,0,10,1
"","org.joda.time.tz","ZoneInfoProvider",12,0.07,2.75,103,1.33,60725.72,17,5,14,12,5,65.62,92,147,24.00,3,1,107.91,0.00,0.00,0.27,6,32.00,6,3991.68,2,5,3,java.lang.Object,0.00,0,0,33,0,0,7,1,20,781,1
"","org.joda.time.tz","ZoneInfoProvider$PrivilegedAction<InputStream>",1,0.00,2.00,5,0.04,620.78,1,0,14,1,0,122.77,0,9,3.00,0,1,122.77,0.00,0.00,0.00,0,0.00,2,110.36,0,1,0,java.lang.Object,0.00,0,0,2,0,0,0,0,0,27,1
"","org.joda.time.chrono","ZonedChronology",16,0.50,2.06,114,1.77,92253.45,18,2,12,16,20,130.31,57,168,29.00,9,4,109.69,0.00,0.75,0.03,3,30.00,6,5308.28,2,14,11,org.joda.time.chrono.AssembledChronology,0.15,0,3,33,0,0,2,0,14,1066,2
"","org.joda.time.chrono","ZonedChronology$ZonedDateTimeField",35,0.13,1.29,145,1.61,46643.54,42,7,12,35,7,123.88,8,209,15.00,0,3,123.88,0.00,0.67,0.27,2,0.00,3,4830.31,1,34,7,org.joda.time.field.BaseDateTimeField,0.44,0,2,45,0,0,1,0,3,1118,2
